iter	Passed	Remaining
1427	7422	374
1428	7427	369
1429	7432	363
1430	7438	358
1431	7443	353
1432	7448	348
1433	7454	343
1434	7459	337
1435	7462	332
1436	7467	327
1437	7473	322
1438	7480	317
1439	7485	311
1440	7490	306
1441	7493	301
1442	7498	296
1443	7504	291
1444	7509	285
1445	7514	280
1446	7518	275
1447	7523	270
1448	7528	264
1449	7533	259
1450	7539	254
1451	7544	249
1452	7549	244
1453	7554	238
1454	7559	233
1455	7564	228
1456	7569	223
1457	7572	218
1458	7577	212
1459	7582	207
1460	7587	202
1461	7593	197
1462	7598	192
1463	7603	186
1464	7608	181
1465	7613	176
1466	7617	171
1467	7623	166
1468	7628	160
1469	7633	155
1470	7639	150
1471	7645	145
1472	7650	140
1473	7655	135
1474	7660	129
1475	7665	124
1476	7670	119
1477	7675	114
1478	7681	109
1479	7686	103
1480	7691	98
1481	7696	93
1482	7700	88
1483	7706	83
1484	7711	77
1485	7716	72
1486	7721	67
1487	7727	62
1488	7731	57
1489	7736	51
1490	7741	46
1491	7747	41
1492	7752	36
1493	7757	31
1494	7763	25
1495	7767	20
1496	7772	15
1497	7778	10
1498	7783	5
1499	7788	0
